iter	RMSE
0	3490.906645
1	3393.36037
2	3302.155486
3	3217.622447
4	3139.376051
5	3067.043715
6	3000.120569
7	2938.306014
8	2881.484289
9	2828.4572
10	2779.754514
11	2735.097371
12	2693.098527
13	2654.496022
14	2619.136346
15	2586.597103
16	2556.353843
17	2528.321647
18	2503.000952
19	2479.333774
20	2457.411954
21	2437.229509
22	2418.622351
23	2401.147349
24	2385.424493
25	2370.891498
26	2357.308539
27	2345.182489
28	2333.48694
29	2322.87301
30	2312.287324
31	2303.00449
32	2294.136949
33	2286.138766
34	2278.697299
35	2271.732275
36	2264.864075
37	2258.802655
38	2253.026775
39	2247.233235
40	2242.354304
41	2237.318326
42	2232.982228
43	2228.665263
44	2224.959769
45	2221.154523
46	2217.632639
47	2214.559841
48	2211.627095
49	2208.848651
50	2206.192627
51	2203.768363
52	2201.535735
53	2199.163118
54	2196.952506
55	2194.589101
56	2192.615113
57	2190.617971
58	2188.918137
59	2187.184094
60	2185.691255
61	2184.189741
62	2182.486409
63	2181.124265
64	2179.82287
65	2178.199263
66	2176.939417
67	2175.481846
68	2174.402067
69	2173.42498
70	2172.341804
71	2170.981678
72	2170.092339
73	2168.96509
74	2168.099022
75	2166.910705
76	2166.084782
77	2165.131636
78	2164.399766
79	2163.680981
80	2162.960865
81	2162.118415
82	2161.278222
83	2160.624856
84	2160.096413
85	2159.32955
86	2158.57285
87	2157.949789
88	2157.398538
89	2156.824172
90	2156.140621
91	2155.667727
92	2155.220561
93	2154.549464
94	2153.870093
95	2153.299877
96	2152.752443
97	2152.299054
98	2151.746286
99	2151.115156
100	2150.685011
101	2150.195821
102	2149.816788
103	2149.384836
104	2148.945698
105	2148.41668
106	2147.939448
107	2147.57778
108	2147.087561
109	2146.599844
110	2146.051108
111	2145.632883
112	2145.302364
113	2144.907513
114	2144.55754
115	2144.275388
116	2144.027871
117	2143.66081
118	2143.233165
119	2142.773051
120	2142.441501
121	2142.135536
122	2141.719115
123	2141.354321
124	2141.08244
125	2140.712511
126	2140.361467
127	2139.99518
128	2139.67472
129	2139.366343
130	2139.166349
131	2138.857214
132	2138.582493
133	2138.326965
134	2138.007837
135	2137.72924
136	2137.36037
137	2137.115205
138	2136.663864
139	2136.410277
140	2136.148807
141	2135.962431
142	2135.645029
143	2135.382189
144	2135.062171
145	2134.819147
146	2134.5755
147	2134.391846
148	2134.186494
149	2133.909553
150	2133.594185
151	2133.284538
152	2133.075284
153	2132.70611
154	2132.356399
155	2132.094074
156	2131.561765
157	2131.405341
158	2131.199769
159	2130.99642
160	2130.757621
161	2130.452267
162	2129.972456
163	2129.710878
164	2129.444398
165	2129.23523
166	2129.029104
167	2128.689345
168	2128.380515
169	2128.189041
170	2127.930175
171	2127.807666
172	2127.536904
173	2127.340454
174	2127.174135
175	2127.040511
176	2126.74159
177	2126.530977
178	2126.419269
179	2126.18402
180	2126.024178
181	2125.873395
182	2125.72895
183	2125.341708
184	2125.21001
185	2125.020953
186	2124.813012
187	2124.687103
188	2124.518488
189	2124.363703
190	2124.197946
191	2124.04345
192	2123.886456
193	2123.604843
194	2123.463012
195	2123.269929
196	2122.991854
197	2122.855334
198	2122.693972
199	2122.591327
200	2122.419809
201	2122.333366
202	2122.137266
203	2121.98366
204	2121.868033
205	2121.538372
206	2121.423467
207	2121.270942
208	2121.156319
209	2120.951193
210	2120.793385
211	2120.6575
212	2120.477379
213	2120.181211
214	2120.098246
215	2119.920562
216	2119.817082
217	2119.698326
218	2119.46934
219	2119.340179
220	2119.190759
221	2119.005025
222	2118.717591
223	2118.573216
224	2118.409501
225	2118.28881
226	2118.073193
227	2117.930187
228	2117.816606
229	2117.727564
230	2117.584812
231	2117.499031
232	2117.359899
233	2117.153954
234	2117.068696
235	2116.927822
236	2116.740582
237	2116.649687
238	2116.474198
239	2116.249145
240	2116.08567
241	2115.960721
242	2115.792878
243	2115.592977
244	2115.475447
245	2115.421432
246	2115.311679
247	2115.200159
248	2115.104251
249	2114.931568
250	2114.80732
251	2114.683436
252	2114.540912
253	2114.38254
254	2114.288192
255	2114.113128
256	2114.053974
257	2113.911015
258	2113.757356
259	2113.649984
260	2113.558744
261	2113.40767
262	2113.33236
263	2113.213616
264	2113.099005
265	2112.932652
266	2112.861991
267	2112.743659
268	2112.623294
269	2112.508718
270	2112.403557
271	2112.309311
272	2112.221848
273	2112.134427
274	2112.004615
275	2111.910055
276	2111.828573
277	2111.715463
278	2111.644662
279	2111.555414
280	2111.348458
281	2111.245914
282	2111.159558
283	2111.075964
284	2110.951891
285	2110.898307
286	2110.831971
287	2110.746798
288	2110.620307
289	2110.482016
290	2110.325071
291	2110.209186
292	2110.12987
293	2109.958454
294	2109.85145
295	2109.74703
296	2109.657623
297	2109.557329
298	2109.460281
299	2109.399583
