iter	Passed	Remaining
0	197	59169
1	248	37048
2	298	29597
3	352	26084
4	405	23911
5	462	22667
6	518	21707
7	574	20958
8	627	20296
9	679	19712
10	734	19296
11	790	18973
12	847	18704
13	900	18389
14	953	18114
15	1008	17903
16	1065	17741
17	1120	17561
18	1185	17536
19	1240	17367
20	1292	17172
21	1346	17019
22	1399	16857
23	1458	16771
24	1511	16622
25	1565	16498
26	1617	16359
27	1671	16241
28	1723	16101
29	1772	15953
30	1830	15886
31	1885	15790
32	1939	15692
33	1991	15582
34	2041	15459
35	2097	15381
36	2156	15328
37	2209	15236
38	2263	15150
39	2315	15052
40	2370	14974
41	2425	14901
42	2482	14837
43	2538	14767
44	2591	14682
45	2643	14595
46	2698	14523
47	2751	14445
48	2801	14350
49	2851	14258
50	2902	14172
51	2953	14086
52	3005	14006
53	3058	13934
54	3113	13867
55	3167	13800
56	3220	13728
57	3271	13648
58	3320	13563
59	3369	13477
60	3419	13398
61	3474	13335
62	3531	13285
63	3588	13231
64	3647	13188
65	3704	13133
66	3771	13116
67	3830	13068
68	3885	13006
69	3942	12952
70	3996	12891
71	4049	12823
72	4102	12756
73	4159	12704
74	4214	12643
75	4269	12583
76	4328	12535
77	4380	12468
78	4438	12416
79	4488	12344
80	4540	12276
81	4590	12202
82	4643	12140
83	4703	12095
84	4758	12036
85	4815	11981
86	4864	11908
87	4913	11836
88	4965	11772
89	5017	11707
90	5069	11642
91	5121	11579
92	5175	11519
93	5227	11456
94	5280	11395
95	5333	11333
96	5384	11267
97	5432	11198
98	5485	11136
99	5541	11083
100	5594	11023
101	5647	10963
102	5694	10890
103	5744	10826
104	5793	10759
105	5845	10697
106	5893	10631
107	5943	10566
108	5994	10503
109	6044	10439
110	6099	10385
111	6152	10327
112	6202	10264
113	6254	10204
114	6299	10134
115	6348	10069
116	6401	10011
117	6459	9963
118	6514	9907
119	6562	9843
120	6617	9789
121	6674	9738
122	6725	9678
123	6774	9616
124	6827	9559
125	6877	9497
126	6927	9436
127	6980	9380
128	7033	9324
129	7095	9278
130	7164	9242
131	7242	9217
132	7309	9178
133	7369	9129
134	7450	9106
135	7514	9061
136	7589	9030
137	7674	9009
138	7740	8965
139	7795	8909
140	7854	8857
141	7910	8802
142	7967	8747
143	8023	8691
144	8079	8636
145	8141	8587
146	8197	8532
147	8250	8473
148	8305	8417
149	8363	8363
150	8417	8305
151	8473	8250
152	8527	8193
153	8599	8152
154	8701	8139
155	8831	8152
156	8944	8146
157	9046	8130
158	9144	8109
159	9257	8100
160	9351	8073
161	9474	8071
162	9557	8033
163	9658	8009
164	9728	7959
165	9796	7907
166	9863	7855
167	9928	7801
168	9994	7747
169	10056	7690
170	10121	7635
171	10182	7577
172	10251	7525
173	10314	7469
174	10379	7413
175	10438	7354
176	10497	7295
177	10555	7234
178	10612	7174
179	10673	7115
180	10729	7054
181	10788	6995
182	10845	6934
183	10911	6878
184	10966	6817
185	11020	6754
186	11079	6695
187	11142	6637
188	11196	6575
189	11248	6512
190	11303	6450
191	11358	6389
192	11420	6331
193	11480	6272
194	11534	6211
195	11593	6151
196	11652	6092
197	11707	6030
198	11764	5970
199	11823	5911
200	11886	5854
201	11943	5794
202	11997	5732
203	12052	5671
204	12111	5612
205	12172	5554
206	12234	5496
207	12287	5434
208	12350	5377
209	12419	5322
210	12478	5263
211	12531	5201
212	12578	5137
213	12638	5078
214	12688	5016
215	12747	4957
216	12803	4897
217	12855	4835
218	12909	4774
219	12958	4712
220	13013	4651
221	13067	4591
222	13130	4533
223	13187	4474
224	13242	4414
225	13294	4352
226	13353	4294
227	13408	4234
228	13459	4173
229	13510	4111
230	13565	4051
231	13621	3992
232	13676	3932
233	13734	3873
234	13787	3813
235	13841	3753
236	13896	3694
237	13946	3633
238	13995	3572
239	14054	3513
240	14117	3456
241	14173	3396
242	14227	3337
243	14282	3277
244	14336	3218
245	14392	3159
246	14446	3099
247	14500	3040
248	14556	2981
249	14606	2921
250	14655	2861
251	14705	2801
252	14758	2741
253	14814	2683
254	14867	2623
255	14922	2564
256	14975	2505
257	15033	2447
258	15094	2389
259	15151	2330
260	15202	2271
261	15256	2212
262	15305	2153
263	15356	2094
264	15411	2035
265	15467	1977
266	15521	1918
267	15574	1859
268	15628	1801
269	15681	1742
270	15733	1683
271	15784	1624
272	15836	1566
273	15888	1507
274	15939	1449
275	15992	1390
276	16042	1332
277	16101	1274
278	16154	1215
279	16210	1157
280	16266	1099
281	16323	1041
282	16377	983
283	16434	925
284	16492	868
285	16542	809
286	16591	751
287	16646	693
288	16699	635
289	16756	577
290	16812	519
291	16865	462
292	16917	404
293	16971	346
294	17025	288
295	17080	230
296	17135	173
297	17187	115
298	17238	57
299	17294	0
